,account_name_banks,datetime,transaction_id_banks,provider_name,client_name,currency,commission_banks,description,transaction_id_register,provider_id,operation_type,amount,is_present_in_register
0,Best Company_EUR,2023-01-02 00:03:00,2_Best Company_EUR,Gold Fix,Mega Trade,EUR,58.800000000000004,"INVOICE: deposit, Mega Trade to EUR",2_Mega Trade_EUR,3.0,income,4200.0,True
1,Best Company_EUR,2023-01-03 13:08:00,6_Best Company_EUR,Gold Fix,Mega Trade,EUR,112.0,"INVOICE: deposit, Mega Trade to EUR",8_Mega Trade_EUR,7.0,income,8000.0,True
2,Best Company_EUR,2023-01-06 12:58:00,12_Best Company_EUR,Gold Fix,Mega Trade,EUR,67.2,"INVOICE: deposit, Mega Trade to EUR",20_Mega Trade_EUR,13.0,income,4800.0,True
3,Best Company_EUR,2023-01-07 07:10:00,16_Best Company_EUR,Gold Fix,Mega Trade,EUR,58.800000000000004,"INVOICE: deposit, Mega Trade to EUR",28_Mega Trade_EUR,17.0,income,4200.0,True
4,Best Company_EUR,2023-01-12 12:59:00,24_Best Company_EUR,Gold Fix,Mega Trade,EUR,58.800000000000004,"INVOICE: deposit, Mega Trade to EUR",52_Mega Trade_EUR,25.0,income,4200.0,True
5,Best Company_EUR,2023-01-14 02:48:00,28_Best Company_EUR,Gold Fix,Mega Trade,EUR,67.2,"INVOICE: deposit, Mega Trade to EUR",59_Mega Trade_EUR,29.0,income,4800.0,True
6,Best Company_EUR,2023-01-16 18:02:00,32_Best Company_EUR,Gold Fix,Mega Trade,EUR,89.60000000000001,"INVOICE: deposit, Mega Trade to EUR",76_Mega Trade_EUR,33.0,income,6400.0,True
7,Best Company_EUR,2023-01-21 00:51:00,36_Best Company_EUR,Gold Fix,Mega Trade,EUR,42.0,"INVOICE: deposit, Mega Trade to EUR",93_Mega Trade_EUR,37.0,income,3000.0,True
8,Best Company_EUR,2023-01-23 07:06:00,44_Best Company_EUR,Gold Fix,Mega Trade,EUR,100.8,"INVOICE: deposit, Mega Trade to EUR",106_Mega Trade_EUR,45.0,income,7200.0,True
9,Best Company_EUR,2023-01-25 17:51:00,48_Best Company_EUR,Gold Fix,Mega Trade,EUR,58.800000000000004,"INVOICE: deposit, Mega Trade to EUR",118_Mega Trade_EUR,49.0,income,4200.0,True
10,Best Company_EUR,2023-01-28 18:24:00,52_Best Company_EUR,Gold Fix,Mega Trade,EUR,78.4,"INVOICE: deposit, Mega Trade to EUR",133_Mega Trade_EUR,53.0,income,5600.0,True
11,Best Company_EUR,2023-01-30 19:02:00,56_Best Company_EUR,Gold Fix,Mega Trade,EUR,89.60000000000001,"INVOICE: deposit, Mega Trade to EUR",141_Mega Trade_EUR,57.0,income,6400.0,True
12,Best Company_EUR,2023-02-04 04:20:00,58_Best Company_EUR,Gold Fix,Mega Trade,EUR,67.2,"INVOICE: deposit, Mega Trade to EUR",157_Mega Trade_EUR,59.0,income,4800.0,True
13,Best Company_EUR,2023-02-08 20:41:00,62_Best Company_EUR,Gold Fix,Mega Trade,EUR,58.800000000000004,"INVOICE: deposit, Mega Trade to EUR",176_Mega Trade_EUR,63.0,income,4200.0,True
14,Best Company_EUR,2023-02-11 20:53:00,70_Best Company_EUR,Gold Fix,Mega Trade,EUR,98.0,"INVOICE: deposit, Mega Trade to EUR",191_Mega Trade_EUR,71.0,income,7000.0,True
