datetime,transaction_id,provider_id,account_name,provider_name,operation_type,currency,amount,commission,commentary
2023-01-02 00:00:00,1_Mega Trade_USD,,Mega Trade_USD,Best Company,outcome,USD,250,0.0,Monthly withdrawl according conditions. Period 2022-12
2023-01-02 00:00:00,1_Proxima LTD_USD,,Proxima LTD_USD,Best Company,outcome,USD,250,0.0,Monthly withdrawl according conditions. Period 2022-12
2023-01-02 00:00:00,1_Proxima LTD_EUR,,Proxima LTD_EUR,Best Company,outcome,EUR,230,0.0,Monthly withdrawl according conditions. Period 2022-12
2023-01-02 00:00:00,1_Super Trader_USD,,Super Trader_USD,Best Company,outcome,USD,250,0.0,Monthly withdrawl according conditions. Period 2022-12
2023-01-02 00:00:00,1_Mega Trade_EUR,,Mega Trade_EUR,Best Company,outcome,EUR,230,0.0,Monthly withdrawl according conditions. Period 2022-12
2023-01-02 00:00:00,1_Super Trader_EUR,,Super Trader_EUR,Best Company,outcome,EUR,230,0.0,Monthly withdrawl according conditions. Period 2022-12
2023-01-02 00:03:00,2_Mega Trade_EUR,3.0,Mega Trade_EUR,Gold Fix,income,EUR,4200,0.0,"INVOICE: deposit, Mega Trade to EUR"
2023-01-02 00:04:00,2_Proxima LTD_EUR,5.0,Proxima LTD_EUR,Gold Fix,income,EUR,4200,0.0,"INVOICE: deposit, Proxima LTD to EUR"
2023-01-02 00:05:00,3_Mega Trade_EUR,,Mega Trade_EUR,,outcome,EUR,700,15.399999999999999,transfer to fx
2023-01-02 00:06:00,3_Proxima LTD_EUR,,Proxima LTD_EUR,,outcome,EUR,700,15.399999999999999,transfer to fx
2023-01-02 00:09:00,2_Super Trader_USD,3.0,Super Trader_USD,Green Field,income,USD,6400,0.0,"INVOICE: deposit, Super Trader to USD"
2023-01-02 00:11:00,3_Super Trader_USD,,Super Trader_USD,,outcome,USD,800,20.0,transfer to fx
2023-01-02 02:10:00,2_Proxima LTD_USD,5.0,Proxima LTD_USD,Green Field,income,USD,6000,0.0,"INVOICE: deposit, Proxima LTD to USD"
2023-01-02 02:11:00,2_Mega Trade_USD,3.0,Mega Trade_USD,Gold Fix,income,USD,6300,0.0,"INVOICE: deposit, Mega Trade to USD"
2023-01-02 02:12:00,3_Proxima LTD_USD,,Proxima LTD_USD,,outcome,USD,1000,25.0,transfer to fx
2023-01-02 02:13:00,3_Mega Trade_USD,,Mega Trade_USD,,outcome,USD,900,22.5,transfer to fx
2023-01-02 02:17:00,4_Super Trader_USD,,Super Trader_USD,,outcome,USD,900,22.5,transfer to fx
2023-01-02 06:13:00,4_Proxima LTD_USD,,Proxima LTD_USD,,outcome,USD,900,22.5,transfer to fx
2023-01-02 06:16:00,4_Mega Trade_USD,,Mega Trade_USD,,outcome,USD,800,20.0,transfer to fx
2023-01-02 06:19:00,2_Super Trader_EUR,3.0,Super Trader_EUR,Green Field,income,EUR,8000,0.0,"INVOICE: deposit, Super Trader to EUR"
2023-01-02 06:21:00,3_Super Trader_EUR,,Super Trader_EUR,,outcome,EUR,1000,22.0,transfer to fx
2023-01-02 09:04:00,4_Super Trader_EUR,,Super Trader_EUR,,outcome,EUR,900,19.799999999999997,transfer to fx
2023-01-02 09:10:00,4_Mega Trade_EUR,,Mega Trade_EUR,,outcome,EUR,700,15.399999999999999,transfer to fx
2023-01-02 09:11:00,4_Proxima LTD_EUR,,Proxima LTD_EUR,,outcome,EUR,800,17.599999999999998,transfer to fx
2023-01-02 13:01:00,5_Proxima LTD_USD,,Proxima LTD_USD,,outcome,USD,900,22.5,transfer to fx
2023-01-02 13:05:00,5_Super Trader_USD,,Super Trader_USD,,outcome,USD,1000,25.0,transfer to fx
2023-01-02 13:08:00,5_Mega Trade_USD,,Mega Trade_USD,,outcome,USD,500,12.5,transfer to fx
2023-01-02 15:46:00,5_Proxima LTD_EUR,,Proxima LTD_EUR,,outcome,EUR,600,13.2,transfer to fx
2023-01-02 15:52:00,6_Super Trader_USD,,Super Trader_USD,,outcome,USD,800,20.0,transfer to fx
2023-01-02 15:55:00,6_Mega Trade_USD,,Mega Trade_USD,,outcome,USD,500,12.5,transfer to fx
2023-01-02 18:43:00,5_Mega Trade_EUR,,Mega Trade_EUR,,outcome,EUR,900,19.799999999999997,transfer to fx
2023-01-02 18:49:00,5_Super Trader_EUR,,Super Trader_EUR,,outcome,EUR,500,11.0,transfer to fx
2023-01-02 18:56:00,6_Proxima LTD_USD,,Proxima LTD_USD,,outcome,USD,1000,25.0,transfer to fx
2023-01-02 20:58:00,6_Super Trader_EUR,,Super Trader_EUR,,outcome,EUR,800,17.599999999999998,transfer to fx
2023-01-02 21:02:00,6_Mega Trade_EUR,,Mega Trade_EUR,,outcome,EUR,600,13.2,transfer to fx
2023-01-02 21:02:00,6_Proxima LTD_EUR,,Proxima LTD_EUR,,outcome,EUR,700,15.399999999999999,transfer to fx
