account_name,datetime,transaction_id,provider_name,client_name,currency,credit,debit,commission,description
Best Company_EUR,2023-01-02 00:00:00,1_Best Company_EUR,Gold Fix,,EUR,0.0,87.0,0.0,Monthly withdrawl according conditions. Period 2022-12
Best Company_EUR,2023-01-02 00:03:00,2_Best Company_EUR,Gold Fix,Mega Trade,EUR,4200.0,0.0,0.0,"INVOICE: deposit, Mega Trade to EUR"
Best Company_EUR,2023-01-02 00:05:00,3_Best Company_EUR,Gold Fix,Mega Trade,EUR,0.0,4200.0,58.800000000000004,"INVOICE: deposit, Mega Trade to EUR"
Best Company_EUR,2023-01-02 00:04:00,4_Best Company_EUR,Gold Fix,Proxima LTD,EUR,4200.0,0.0,0.0,"INVOICE: deposit, Proxima LTD to EUR"
Best Company_EUR,2023-01-02 00:06:00,5_Best Company_EUR,Gold Fix,Proxima LTD,EUR,0.0,4200.0,58.800000000000004,"INVOICE: deposit, Proxima LTD to EUR"
Best Company_EUR,2023-01-03 13:08:00,6_Best Company_EUR,Gold Fix,Mega Trade,EUR,8000.0,0.0,0.0,"INVOICE: deposit, Mega Trade to EUR"
Best Company_EUR,2023-01-03 13:10:00,7_Best Company_EUR,Gold Fix,Mega Trade,EUR,0.0,8000.0,112.0,"INVOICE: deposit, Mega Trade to EUR"
Best Company_EUR,2023-01-04 05:33:00,8_Best Company_EUR,Gold Fix,Super Trader,EUR,4800.0,0.0,0.0,"INVOICE: deposit, Super Trader to EUR"
Best Company_EUR,2023-01-04 05:35:00,9_Best Company_EUR,Gold Fix,Super Trader,EUR,0.0,4800.0,67.2,"INVOICE: deposit, Super Trader to EUR"
Best Company_EUR,2023-01-04 16:29:00,10_Best Company_EUR,Gold Fix,Proxima LTD,EUR,8000.0,0.0,0.0,"INVOICE: deposit, Proxima LTD to EUR"
Best Company_EUR,2023-01-04 16:31:00,11_Best Company_EUR,Gold Fix,Proxima LTD,EUR,0.0,8000.0,112.0,"INVOICE: deposit, Proxima LTD to EUR"
Best Company_EUR,2023-01-06 12:58:00,12_Best Company_EUR,Gold Fix,Mega Trade,EUR,4800.0,0.0,0.0,"INVOICE: deposit, Mega Trade to EUR"
Best Company_EUR,2023-01-06 13:00:00,13_Best Company_EUR,Gold Fix,Mega Trade,EUR,0.0,4800.0,67.2,"INVOICE: deposit, Mega Trade to EUR"
Best Company_EUR,2023-01-06 19:40:00,14_Best Company_EUR,Gold Fix,Super Trader,EUR,4200.0,0.0,0.0,"INVOICE: deposit, Super Trader to EUR"
Best Company_EUR,2023-01-06 19:42:00,15_Best Company_EUR,Gold Fix,Super Trader,EUR,0.0,4200.0,58.800000000000004,"INVOICE: deposit, Super Trader to EUR"
Best Company_EUR,2023-01-07 07:10:00,16_Best Company_EUR,Gold Fix,Mega Trade,EUR,4200.0,0.0,0.0,"INVOICE: deposit, Mega Trade to EUR"
Best Company_EUR,2023-01-07 07:12:00,17_Best Company_EUR,Gold Fix,Mega Trade,EUR,0.0,4200.0,58.800000000000004,"INVOICE: deposit, Mega Trade to EUR"
Best Company_EUR,2023-01-09 07:00:00,18_Best Company_EUR,Gold Fix,Proxima LTD,EUR,3000.0,0.0,0.0,"INVOICE: deposit, Proxima LTD to EUR"
Best Company_EUR,2023-01-09 07:02:00,19_Best Company_EUR,Gold Fix,Proxima LTD,EUR,0.0,3000.0,42.0,"INVOICE: deposit, Proxima LTD to EUR"
Best Company_EUR,2023-01-10 03:09:00,20_Best Company_EUR,Gold Fix,Super Trader,EUR,7200.0,0.0,0.0,"INVOICE: deposit, Super Trader to EUR"
Best Company_EUR,2023-01-10 03:11:00,21_Best Company_EUR,Gold Fix,Super Trader,EUR,0.0,7200.0,100.8,"INVOICE: deposit, Super Trader to EUR"
Best Company_EUR,2023-01-10 16:21:00,22_Best Company_EUR,Gold Fix,Proxima LTD,EUR,5400.0,0.0,0.0,"INVOICE: deposit, Proxima LTD to EUR"
Best Company_EUR,2023-01-10 16:23:00,23_Best Company_EUR,Gold Fix,Proxima LTD,EUR,0.0,5400.0,75.60000000000001,"INVOICE: deposit, Proxima LTD to EUR"
Best Company_EUR,2023-01-12 12:59:00,24_Best Company_EUR,Gold Fix,Mega Trade,EUR,4200.0,0.0,0.0,"INVOICE: deposit, Mega Trade to EUR"
Best Company_EUR,2023-01-12 13:01:00,25_Best Company_EUR,Gold Fix,Mega Trade,EUR,0.0,4200.0,58.800000000000004,"INVOICE: deposit, Mega Trade to EUR"
Best Company_EUR,2023-01-12 13:13:00,26_Best Company_EUR,Gold Fix,Proxima LTD,EUR,7000.0,0.0,0.0,"INVOICE: deposit, Proxima LTD to EUR"
Best Company_EUR,2023-01-12 13:15:00,27_Best Company_EUR,Gold Fix,Proxima LTD,EUR,0.0,7000.0,98.0,"INVOICE: deposit, Proxima LTD to EUR"
Best Company_EUR,2023-01-14 02:48:00,28_Best Company_EUR,Gold Fix,Mega Trade,EUR,4800.0,0.0,0.0,"INVOICE: deposit, Mega Trade to EUR"
Best Company_EUR,2023-01-14 02:50:00,29_Best Company_EUR,Gold Fix,Mega Trade,EUR,0.0,4800.0,67.2,"INVOICE: deposit, Mega Trade to EUR"
Best Company_EUR,2023-01-15 01:55:00,30_Best Company_EUR,Gold Fix,Proxima LTD,EUR,6000.0,0.0,0.0,"INVOICE: deposit, Proxima LTD to EUR"
Best Company_EUR,2023-01-15 01:57:00,31_Best Company_EUR,Gold Fix,Proxima LTD,EUR,0.0,6000.0,84.0,"INVOICE: deposit, Proxima LTD to EUR"
Best Company_EUR,2023-01-16 18:02:00,32_Best Company_EUR,Gold Fix,Mega Trade,EUR,6400.0,0.0,0.0,"INVOICE: deposit, Mega Trade to EUR"
Best Company_EUR,2023-01-16 18:04:00,33_Best Company_EUR,Gold Fix,Mega Trade,EUR,0.0,6400.0,89.60000000000001,"INVOICE: deposit, Mega Trade to EUR"
Best Company_EUR,2023-01-18 19:33:00,34_Best Company_EUR,Gold Fix,Proxima LTD,EUR,4000.0,0.0,0.0,"INVOICE: deposit, Proxima LTD to EUR"
Best Company_EUR,2023-01-18 19:35:00,35_Best Company_EUR,Gold Fix,Proxima LTD,EUR,0.0,4000.0,56.0,"INVOICE: deposit, Proxima LTD to EUR"
Best Company_EUR,2023-01-21 00:51:00,36_Best Company_EUR,Gold Fix,Mega Trade,EUR,3000.0,0.0,0.0,"INVOICE: deposit, Mega Trade to EUR"
Best Company_EUR,2023-01-21 00:53:00,37_Best Company_EUR,Gold Fix,Mega Trade,EUR,0.0,3000.0,42.0,"INVOICE: deposit, Mega Trade to EUR"
Best Company_EUR,2023-01-21 04:08:00,38_Best Company_EUR,Gold Fix,Proxima LTD,EUR,4800.0,0.0,0.0,"INVOICE: deposit, Proxima LTD to EUR"
Best Company_EUR,2023-01-21 04:10:00,39_Best Company_EUR,Gold Fix,Proxima LTD,EUR,0.0,4800.0,67.2,"INVOICE: deposit, Proxima LTD to EUR"
Best Company_EUR,2023-01-21 21:58:00,40_Best Company_EUR,Gold Fix,Super Trader,EUR,4200.0,0.0,0.0,"INVOICE: deposit, Super Trader to EUR"
Best Company_EUR,2023-01-21 22:00:00,41_Best Company_EUR,Gold Fix,Super Trader,EUR,0.0,4200.0,58.800000000000004,"INVOICE: deposit, Super Trader to EUR"
Best Company_EUR,2023-01-22 17:37:00,42_Best Company_EUR,Gold Fix,Proxima LTD,EUR,7000.0,0.0,0.0,"INVOICE: deposit, Proxima LTD to EUR"
Best Company_EUR,2023-01-22 17:39:00,43_Best Company_EUR,Gold Fix,Proxima LTD,EUR,0.0,7000.0,98.0,"INVOICE: deposit, Proxima LTD to EUR"
Best Company_EUR,2023-01-23 07:06:00,44_Best Company_EUR,Gold Fix,Mega Trade,EUR,7200.0,0.0,0.0,"INVOICE: deposit, Mega Trade to EUR"
Best Company_EUR,2023-01-23 07:08:00,45_Best Company_EUR,Gold Fix,Mega Trade,EUR,0.0,7200.0,100.8,"INVOICE: deposit, Mega Trade to EUR"
Best Company_EUR,2023-01-25 11:46:00,46_Best Company_EUR,Gold Fix,Super Trader,EUR,5600.0,0.0,0.0,"INVOICE: deposit, Super Trader to EUR"
Best Company_EUR,2023-01-25 11:48:00,47_Best Company_EUR,Gold Fix,Super Trader,EUR,0.0,5600.0,78.4,"INVOICE: deposit, Super Trader to EUR"
Best Company_EUR,2023-01-25 17:51:00,48_Best Company_EUR,Gold Fix,Mega Trade,EUR,4200.0,0.0,0.0,"INVOICE: deposit, Mega Trade to EUR"
Best Company_EUR,2023-01-25 17:53:00,49_Best Company_EUR,Gold Fix,Mega Trade,EUR,0.0,4200.0,58.800000000000004,"INVOICE: deposit, Mega Trade to EUR"
Best Company_EUR,2023-01-26 22:00:00,50_Best Company_EUR,Gold Fix,Proxima LTD,EUR,8000.0,0.0,0.0,"INVOICE: deposit, Proxima LTD to EUR"
Best Company_EUR,2023-01-26 22:02:00,51_Best Company_EUR,Gold Fix,Proxima LTD,EUR,0.0,8000.0,112.0,"INVOICE: deposit, Proxima LTD to EUR"
Best Company_EUR,2023-01-28 18:24:00,52_Best Company_EUR,Gold Fix,Mega Trade,EUR,5600.0,0.0,0.0,"INVOICE: deposit, Mega Trade to EUR"
Best Company_EUR,2023-01-28 18:26:00,53_Best Company_EUR,Gold Fix,Mega Trade,EUR,0.0,5600.0,78.4,"INVOICE: deposit, Mega Trade to EUR"
